('Polygon_number', 'Longitude', 'Latitude', 'Func_value')
1 23.1985912323 77.1273956299 0
1 23.5795402527 77.1609802246 0
1 23.9624881744 77.1940078735 2
1 24.3474159241 77.2264633179 2
1 24.2009716034 77.3117828369 2
1 24.5901165009 77.3438873291 2
1 24.9812393188 77.3754119873 1
1 25.3743171692 77.4063568115 1
1 25.232831955 77.4922637939 2
1 25.6302375793 77.5228347778 2
1 25.489200592 77.6089019775 2
1 25.8910140991 77.6390838623 0
1 26.4308700562 77.5821685791 0
1 26.029592514 77.5528030396 0
1 26.1662464142 77.4664611816 0
1 26.3010177612 77.380065918 0
1 25.9065074921 77.3505172729 0
1 26.0418167114 77.2642745972 0
1 25.6515293121 77.2343444824 0
1 25.2630977631 77.2038345337 0
1 25.4011878967 77.1179504395 0
1 25.0168933868 77.0870742798 0
1 25.1553726196 77.0013427734 0
1 24.7751407623 76.9701080322 0
1 24.3967590332 76.9383087158 0
1 24.0202465057 76.9059524536 0
1 24.1633243561 76.8208007812 0
1 23.7907733917 76.7881088257 0
1 23.4200935364 76.7548599243 0
1 23.0513000488 76.7210693359 0
1 22.6844120026 76.6867370605 0
1 22.3194408417 76.6518783569 0
1 21.956401825 76.6164779663 0
1 21.5953102112 76.5805511475 0
1 21.5953102112 76.5805511475 0
1 21.0774936676 76.6274337769 0
1 20.7185401917 76.5902252197 0
1 20.7185401917 76.5902252197 0
1 20.1973400116 76.6352615356 0
1 20.1973400116 76.6352615356 0
1 20.0310134888 76.717918396 0
1 19.5024490356 76.761505127 0
1 19.5024490356 76.761505127 0
1 19.330121994 76.8437042236 0
1 19.1556129456 76.9258041382 0
1 18.6156921387 76.9675369263 0
1 18.6156921387 76.9675369263 0
2 23.1104431152 78.8914031982 0
2 22.932100296 78.9762420654 0
2 23.3768043518 79.0102920532 0
2 23.9967765808 78.9583053589 0
2 23.9967765808 78.9583053589 0
2 24.4439544678 78.9907684326 0
2 24.8937644958 79.0225601196 0
2 25.5069389343 78.9674606323 0
2 25.0576152802 78.936592102 0
2 25.2189235687 78.8505554199 0
2 25.3777446747 78.7644424438 0
2 25.5341339111 78.6782531738 0
2 25.6881427765 78.5920028687 0
2 25.8398265839 78.5056762695 0
2 25.8398265839 78.5056762695 0
2 26.4207286835 78.4487380981 0
2 26.4207286835 78.4487380981 0
2 26.9958381653 78.3906326294 0
2 27.1351394653 78.3036804199 0
2 27.2723712921 78.2166671753 0
2 27.4075756073 78.1296005249 0
2 26.9853057861 78.1016693115 0
2 27.1213035583 78.0147628784 0
2 27.2553291321 77.9278030396 0
2 26.8405094147 77.8996505737 0
2 26.975276947 77.8128509521 0
2 26.5650520325 77.784286499 0
2 26.5650520325 77.784286499 0
2 26.427652359 77.870880127 0
2 26.2882614136 77.9574127197 0
2 26.1468410492 78.0438919067 0
2 26.0033454895 78.1303100586 0
2 25.4362163544 78.1863861084 0
2 25.4362163544 78.1863861084 2
2 25.2857055664 78.2724533081 2
2 25.1329555511 78.3584442139 2
2 24.9779167175 78.4443664551 0
2 24.3903064728 78.4983596802 0
2 24.3903064728 78.4983596802 2
2 24.2277450562 78.5838928223 0
2 24.0627155304 78.669342041 0
2 23.895160675 78.7547073364 0
2 23.725030899 78.8399887085 0
2 23.1104431152 78.8914031982 0
2 23.1104431152 78.8914031982 0
3 79.5085220337 79.2760314941 1
3 79.7891311646 79.3513412476 1
3 80.0737533569 79.426399231 1
3 80.3624649048 79.5012054443 1
3 80.6553268433 79.5757522583 1
3 80.9524307251 79.6500244141 1
3 81.2538375854 79.724029541 1
3 81.5596313477 79.7977600098 1
3 81.8698959351 79.8712005615 1
3 82.1847076416 79.9443511963 0
3 82.284324646 79.8159637451 0
3 82.284324646 79.8159637451 0
3 82.3814544678 79.6875762939 0
3 82.0730743408 79.6146469116 0
3 82.0730743408 79.6146469116 0
3 82.1709213257 79.4863586426 0
3 82.1709213257 79.4863586426 0
3 82.2664031982 79.3580703735 0
3 82.2664031982 79.3580703735 0
3 82.3595962524 79.2297744751 0
3 82.064453125 79.1568832397 0
3 82.064453125 79.1568832397 0
3 82.1582946777 79.0286941528 0
3 81.7732772827 79.0837249756 0
3 81.4860153198 79.0102920532 0
3 81.0982818604 79.064453125 0
3 80.7066879272 79.1181106567 0
3 80.3112106323 79.1712722778 0
3 79.9118270874 79.2239151001 0
3 79.5085220337 79.2760314941 0
3 79.5085220337 79.2760314941 1
4 75.9637527466 80.8681716919 1
4 76.2637329102 80.9467315674 1
4 76.5689697266 81.0250396729 1
4 77.0673904419 80.9766616821 1
4 77.3806762695 81.0542907715 1
4 77.8762588501 81.0048141479 0
4 78.0481262207 80.8778991699 0
4 77.7352294922 80.8008575439 0
4 77.7352294922 80.8008575439 0
4 77.9052429199 80.6740493774 1
4 77.4275512695 80.7235565186 1
4 76.9447555542 80.7724227905 1
4 76.6446609497 80.6944580078 1
4 76.1593017578 80.7422485352 1
4 76.1593017578 80.7422485352 1
4 75.9637527466 80.8681716919 1
4 75.9637527466 80.8681716919 1
5 29.4454288483 80.7249221802 1
5 29.2913627625 80.8132705688 1
5 29.1342926025 80.9015579224 1
5 29.8459320068 80.8376846313 0
5 29.9950790405 80.7490997314 0
5 29.4454288483 80.7249221802 0
5 29.4454288483 80.7249221802 1
6 52.6960525513 79.6871643066 0
6 52.7651672363 79.7779312134 0
6 53.275894165 79.7651519775 1
6 53.7073707581 79.6610336304 1
6 53.2023544312 79.6744995117 0
6 52.6960525513 79.6871643066 0
6 52.6960525513 79.6871643066 0
7 81.645652771 80.5861358643 0
7 81.9829101563 80.6595611572 0
7 82.3255233765 80.732673645 0
7 82.431602478 80.6041030884 0
7 82.0928344727 80.5311126709 0
7 81.645652771 80.5861358643 1
7 81.645652771 80.5861358643 0
8 19.9831066132 77.8200836182 0
8 19.7988758087 77.9027786255 0
8 20.3764343262 77.8584213257 0
8 19.9831066132 77.8200836182 0
8 19.9831066132 77.8200836182 0
9 26.2947902679 77.6686630249 0
9 26.1567745209 77.7551040649 0
9 26.7005023956 77.6976318359 0
9 26.2947902679 77.6686630249 0
9 26.2947902679 77.6686630249 0
10 25.3461761475 79.0536727905 0
10 25.1828479767 79.1398086548 0
10 25.801153183 79.0841064453 0
10 25.3461761475 79.0536727905 0
10 25.3461761475 79.0536727905 0
11 29.3577537537 80.435256958 0
11 29.2075958252 80.5235290527 1
11 29.8904247284 80.4595718384 0
11 29.3577537537 80.435256958 0
11 29.3577537537 80.435256958 0
12 29.6938610077 80.9262084961 1
12 29.5387821198 81.0146865845 1
12 30.2564373016 80.9499969482 0
12 29.6938610077 80.9262084961 0
12 29.6938610077 80.9262084961 1
13 42.3057174683 82.1566696167 1
13 42.27368927 82.2484664917 1
13 42.9786338806 82.160446167 0
13 42.3057174683 82.1566696167 0
13 42.3057174683 82.1566696167 1
14 81.7592849731 80.4578018188 1
14 82.0928344727 80.5311126709 0
14 82.1998138428 80.4026412964 0
14 81.7592849731 80.4578018188 1
14 81.7592849731 80.4578018188 1
15 81.8698959351 80.3294525146 1
15 82.1998138428 80.4026412964 0
15 82.3039474487 80.2741699219 0
15 81.8698959351 80.3294525146 1
15 81.8698959351 80.3294525146 1
16 81.9776000977 80.2010955811 1
16 82.3039474487 80.2741699219 0
16 82.4053573608 80.1456832886 0
16 81.9776000977 80.2010955811 1
16 81.9776000977 80.2010955811 1
